"","name","value"
"242","wsj","What This Union Head Thinks About Labor Shortages, Pay Raises"
"243","washingtonpost","Coronavirus vaccine demand grows in U.S. amid omicron concerns, booster eligibility expansion"
"244","latimes","Op-Ed: Your brain doesn’t like uncertainty — and that will help you cope with COVID"
"245","tampabay","A Tampa Bay Times photographer’s year in photos: Douglas R. Clifford"
"246","startribune","
                        Gophers bring back Ciarrocca as offensive coordinator
                    "
"247","guardian","Covid: early signs Omicron more transmissible, UK PM says; Scottish firms urged to let staff work from home"
"248","times","Nurses demand exit from Stonewall diversity scheme"
"249","dailymail","Nearly EVERY child in England has fallen behind with education due to pandemic: Ofsted report finds misery and loneliness are now 'endemic' among young with some regressing in basic language and social skills after lockdown"
"250","independent","Woman claims sacking was racist as German heritage makes her ‘loud’"
"251","mirror","Storm Barra map shows time and location of severe wind and snow across UK"
"252","telegraph","

The death of the budget ski holiday

"
"253","nytimes","The Words Democrats Use Are Not the Real Problem"
"254","wsj","Jeep Maker Stellantis Bets on Software to Boost Revenue"
"255","washingtonpost","British vaccine developer Sarah Gilbert says next pandemic ‘could be worse’ than coronavirus"
"256","latimes","Podcast: Now hiring! Formerly incarcerated people"
"257","tampabay","Florida seeks to scuttle environmentalists’ Piney Point lawsuit"
"258","startribune","
                        Towns returns, but Wolves can't keep pace with hot-shooting Hawks
                    "
"259","guardian","Latest Covid rules for the 10 most popular holiday destinations from UK"
"260","times","Lost for millennia, Seahenge finally takes centre stage"
"261","dailymail","German husband kills himself, his wife and their three young girls after he faked a Covid jab certificate and feared his children would be taken away when it was discovered"
"262","independent","We couldn’t help but wonder… is Carrie Bradshaw still misunderstood?"
"263","mirror","Nicola Sturgeon urges people to work from home as Omicron cases rise in Scotland"
"264","telegraph","

The good, bad and bonkers of midlife male hobbies

"
"265","nytimes","What Kind of Power Should the Names of New York Have?"
"266","wsj","Constellation Brands Agrees to Build Large Brewery in Southeastern Mexico"
"267","washingtonpost","Gen Z most stressed by coronavirus, citing pandemic toll on careers, education and relationships, poll says"
"268","latimes","Is the ports logjam really getting better? The numbers don’t tell the whole story"
"269","tampabay","Florida’s universities have major effects on their communities"
"270","startribune","
                        'Winter is definitely here': Snow wallops North Shore
                    "
"271","guardian","Who are they?"
"272","times","Scandal! When the upper classes behave badly"
"273","dailymail","Tube users face threat of strikes as cash-strapped London Underground reveals plans to cut up to 600 jobs after passenger numbers slumped due to Covid"
"274","independent","Lib Dem sorry for ‘comparing Priti Patel to Goebbels’"
"275","mirror","Princess Diana 'would return or give away some of William and Harry's Christmas gifts'"
"276","telegraph","

'I felt I had nothing to live for until my dog Rosie came into my life'

"
"277","nytimes","Every 8 Seconds, Someone Turns 65 in America. How Do We Care for Everyone?"
"278","wsj","Rise of Shiba Inu Signals New Meme Coin Trends in Cryptocurrency"
"279","washingtonpost","What we know about the omicron variant so far"
"280","latimes","L.A.’s port could have been in Santa Monica. Here’s how San Pedro won out"
"281","tampabay","Richard Sherman could return for Bucs against Bills at a new position"
"282","startribune","
                        Bernadette Christiansen, leader at the Guthrie Theater and McKnight Foundation, dies at 63
                    "
"283","guardian","Michele Brown was vaccinated - but had a suppressed immune system. Would better health advice have saved her?"
"284","times","Pretender to French throne demands château’s return"
"285","dailymail","68 Spanish hospital staff test positive for coronavirus after attending a Christmas party a week ago"
"286","independent","Alcohol deaths in UK hit new high after record increase"
"287","mirror","Top festive filming locations from Christmas movie favourites - and how to visit"
"288","telegraph","

Led Zeppelin’s demon manager: the best – and worst – of Richard Cole

"
"289","nytimes","Biden’s Democracy Conference Is About Much More Than Democracy"
"290","wsj","Elizabeth Warren Presses Fed for Information on Trading Controversy"
"291","washingtonpost","Your questions about the omicron variant, answered"
"292","latimes","Amid port backup, U.S. and global leaders pledge to curb shipping emissions"
"293","tampabay","South Florida developer eyes Tampa Bay with first project in Wesley Chapel"
"294","startribune","
                        Minnesota State Fair reinstates its police force
                    "
"295","guardian","Whether in Britain or Afghanistan, Johnson’s government fails and fails again "
"296","times","Trans reform critics need better legal protection, ministers told"
"297","dailymail","Sturgeon ramps up orders for Scots to work from home: SNP leader tells businesses that all staff who were kept out of the office in the first lockdown should stay away again until at least mid-January  "
"298","independent","Cost of Christmas dinner surges amid rocketing inflation"
"299","mirror","Families split up in hotels hundreds of miles apart in red list quarantine chaos"
"300","telegraph","

Ashes predictions
After Glenn McGrath's customary 5-0 verdict, our experts give theirs

"
"301","nytimes","Opioids Feel Like Love. That’s Why They’re Deadly in Tough Times."
"302","wsj","Junk-Bond Investors Fear Bumpy 2022 After November Slump"
"303","washingtonpost","How to find the right coronavirus test for new U.S. travel rules "
"304","latimes","Stuck for months on cargo ships floating off Southern California, they’re desperate "
"305","tampabay","Boyfriend of missing New Port Richey woman arrested in her death, Pasco sheriff says"
"306","startribune","
                        Bright Health raising $750 million, including Cigna investment
                    "
"307","guardian","Want to be a criminal in America? Stealing billions is your best bet to go scot-free"
"308","times","TV and films blamed for middle-class cocaine use"
"309","dailymail","All 120 partygoers who caught Omicron super-strain from ONE PERSON at Norwegian Xmas work night out have MILD symptoms nearly two weeks later and none are very ill - boosting hopes mutant is weaker than Delta"
"310","independent","PS5 stock - live: Where to buy Sony’s console in the UK today"
"311","mirror","Dog lover completes gruelling 165-mile trek to Downing Street after pup dies in scam"
"312","telegraph","

Listen 
Sir Geoffrey Boycott's Ashes verdict: What England's batsmen must do to stand a chance in the Ashes

"
"313","nytimes","If James Madison Weighed In on Politics Today"
"314","wsj","Volunteer Fighters Raise Stakes in Ethiopia’s Conflict"
"315","washingtonpost","How technology can help seniors beat loneliness and isolation"
"316","latimes","Photos: Gridlock at L.A. ports as dozens of ships idle off the coast"
"317","tampabay","Affordable housing complex under construction in Tampa’s university area"
"318","startribune","
                        Minnesota's Navegate, with roots in serving Control Data, Honeywell, sold for $35M
                    "
"319","guardian","Up at 4am, meditating by 4.15: apart from all the money, why would anyone envy Elizabeth Holmes?"
"320","times","Is this a case of too little, too late in battle against Omicron?"
"321","dailymail","Early Covid symptoms can't be clearly differentiated from vaccine side-effects, study warns"
"322","independent","Government taken to court over financing of Mozambique gas project "
"323","mirror","UK Omicron cases top 430 as 101 new infections confirmed from Covid variant"
"324","telegraph","

Rugby Union
Handre Pollard turns down more lucrative offers to join 'special' Leicester Tigers

"
"325","nytimes","We Are Not Going to Run Out of Hypocrisy Anytime Soon"
"326","wsj","Traffic Is Rising but Largely Below Pre-Pandemic Levels"
"327","washingtonpost","Biden, Putin to discuss Ukraine in call amid growing tensions"
"328","latimes","How Latinos are bonding over first-generation trauma"
"329","tampabay","How a lead factory polluted a Tampa neighborhood"
"330","startribune","
                        Alatus' Lexington Station project in St. Paul loses equity partner
                    "
"331","guardian","The richest 10% produce half of greenhouse gas emissions. They should pay to fix the climate"
"332","times","Prior infection and vaccination combine for better immunity"
"333","dailymail","Boris Johnson insists sluggish booster roll-out is going FASTER than planned after promising to put programme on 'steroids'... even though official data shows barely any improvement with under-40s STILL unable to get top-up jabs"
"334","independent","How 1.5 million-year-old ice will help predict future of climate change"
"335","mirror","Outrage sparked in Cornwall as advert shows cream team made the Devon way"
"336","telegraph","






Live


RB Leipzig vs Manchester City live, Champions League: score and latest updates

"
"337","nytimes","Can We Help the Homeless?"
"338","wsj","Cyclone Batters Hawaii, Prompting State of Emergency Declaration"
"339","washingtonpost","Former Trump chief of staff Mark Meadows refusing to appear for deposition with Jan. 6 committee"
"340","latimes","COVID holidays again? Check the risks with this quiz"
"341","tampabay","For women working in Tampa Bay’s craft beer industry, there’s progress amid struggle "
"342","startribune","
                        Minnesota's typewriter fans are still clacking after all these years
                    "
"343","guardian","I feel despair at Sudan’s coup. But my children’s mini protest gives me hope"
"344","times","If you think you’ve got a cold, there’s a good chance it’s Covid"
"345","dailymail","Rogue PCR firms are 'gaming the system': Warning over rip-off test firms as passengers must now swab 48 hours before landing in UK - as quarantine chaos forces families to stay in hotels 100 MILES apart"
"346","independent","Pay your fair share for climate change, Brits warn tech giants"
"347","mirror","John Lewis' Christmas tree slammed as customers 'speechless' over one-use balloons"
"348","telegraph","

Any 'progressive alliance' would only prolong the Left's delusions

"
"349","nytimes","He Is Black. The Victims Were White. ‘It’s an Allegation as Old as America.’"
"350","wsj","Have You Booked a Reservation for Your Trip Through Airport Security?"
"351","washingtonpost","China says it doesn’t care about Biden’s Olympic snub. Why is it warning of countermeasures?"
"352","latimes","Newsletter: As Omicron arrives, perhaps ‘we should be rooting for Delta’"
"353","tampabay","25 years after police killed TyRon Lewis, family’s pain persists"
"354","startribune","
                        Lil Nas X, Saweetie couldn't out-party Pitbull in Jingle Ball's return to St. Paul
                    "
"355","guardian","The Tories don’t want a modern drugs strategy – they prefer outdated macho rhetoric"
"356","times","Families made to isolate at hotels 100 miles apart"
"357","dailymail","'I feel like a pig sh*t in my head': Withnail star Richard E. Grant is at his wits' end in £228-per-night UK hotel quarantine in social media video - after complaining about the 'grim food'"
"358","independent","‘Black Box’ in Australia to record climate crisis"
"359","mirror","Danielle Lloyd looks super glam as she takes baby Autumn Rose on first outing"
"360","telegraph","

A gentrified London has made the war on drugs even more urgent

"
"361","nytimes","Readers Share What They’re Grateful for"
"362","wsj","‘The Office’ Star Brian Baumgartner Had an Un-Kevin Way of Making Career Plans"
"363","washingtonpost","How Trump pushed Perdue into the Georgia governor's race, kicking off a bitter GOP fight"
"364","latimes","Plaschke: Parents of ex-Mater Dei football player share new details of attack, school response"
"365","tampabay","The lives of 1,000 Floridians killed by coronavirus "
"366","startribune","
                Chief Arradondo announces retirement from Minneapolis police
            "
"367","guardian","Play hard and start strong: Lamb’s lessons for England’s Ashes tilt"
"368","times","What are the new rules for travel?"
"369","dailymail","Gunman kills two people and wounds four after he was asked to put a mask on in Moscow public services building"
"370","independent","Government backs concept for zero-emission planes"
